Auction name,Time,Lots
BUY NOW CARS 24/7,24/7,359
BUY NOW LCV 24/7,24/7,30
Peugeot & Citroen Buy Now,00:00 - 13th Nov 15:00,107
NON-RUNNER SALE 9:30am,09:30,0
Spook-Tacular Sale Event,10:00,0
Online Sold **,10:00,0
Lane 3 - Spook-Tacular Sale- Bridgend Ford/ Hartwell/ Hendy/ Baylis,10:00,0
Lane 1 - Spook-Tacular Sale - Sytner/ Mon Mtrs/ Heritage,10:00,1
LCV VIRTUAL SALE,10:00,0
Spook-Tacular Sale - MOTONOVO FORD SANTANDER LSH CA AUTO,10:00,0
"Spook Tacular Sale- CA Auto, Sycamore, Donalds, Allen Motor Group, Vindis, Fleet and Finance",13:00,128
PHYSICAL LCV SALE 2pm,14:00,180
**ONLINE SOLDS. MONTH END**,00:00,0
Spook-Tacular - NON-RUNNER SALE,09:50,1
"Spook-Tacular Sale - Available Car, Pulman Group, Maxwell Motors Ford & Many More",10:00,168
SPOOKTACULAR! Sandicliffe / WR Davies / Sturgess / JT Hughes / TMS / Perrys / Paul Rigby / Arbury,10:00,163
Virtual Multisite Sale - Leasys & CA Auto,10:00,101
Simulcast Only - Virtual National Non-Runner Sale Inc VWFS LTP,10:00,60
Lane 2 - Available Car / Big Motoring World / Lloyd Motor Group / Stellantis & You,10:00,182
Lane 1 - Arval / Novuna / Leasy's / Mobilize / Lookers Leasing / Holman / CA Auto Finance,10:00,224
"SG Petch Group, Motonovo, Parks Motor Group, Various Finance & Main Dealer",10:00,90
"XBG/HOLMAN, MOTONOVO, ZENITH, ARVAL, DAWSONS, GENERAL,",10:00,161
Lane 3 - Arnold Clark/ Days/ Hutchings/ Hendy/ Wessex,10:00,98
Fleet / Big Motoring World / Finance,10:30,127
